user_id,total_events,page_view_count,search_count,product_click_count,add_to_cart_count,remove_from_cart_count,purchase_count,apply_coupon_count,write_review_count,unique_products,unique_categories,avg_product_price,max_product_price,avg_page_duration_sec,total_page_duration_sec,avg_quantity,max_cart_total,avg_cart_total,has_discount,max_discount_pct,is_member,add_to_cart_ratio,search_to_cart_ratio,did_purchase,primary_device,primary_browser,primary_referral,primary_os
user_1019,48,19,7,8,10,0,1,3,0,48,7,281.56,1299.99,170.46,8182,1.69,2499.99,701.45,1,25,0,0.2083,1.4286,1,mobile,Chrome,direct,Android
user_0285,50,22,8,3,10,1,1,2,3,50,8,267.02,1299.99,191.66,9583,1.74,2499.99,462.19,1,25,0,0.2,1.25,1,mobile,Chrome,direct,Android
user_1003,64,22,10,12,12,5,2,0,1,64,8,358.9,1299.99,195.69,12524,1.63,2499.99,744.91,1,25,0,0.1875,1.2,1,mobile,Chrome,direct,iOS
user_1124,50,23,9,9,8,0,0,0,1,49,8,275.51,1299.99,185.74,9287,1.62,2499.99,672.29,1,25,0,0.16,0.8889,0,mobile,Chrome,direct,iOS
user_0155,54,17,8,11,9,5,2,1,1,54,7,250.34,1299.99,156.91,8473,1.56,2499.99,596.47,1,25,0,0.1667,1.125,1,desktop,Chrome,direct,iOS
user_0596,44,19,3,9,8,2,1,0,2,44,8,253.24,1199.99,156.16,6871,1.75,2499.99,654.99,1,25,0,0.1818,2.6667,1,mobile,Chrome,google_search,iOS
user_0933,49,18,7,7,6,3,5,2,1,49,8,276.53,1299.99,189.65,9293,1.53,2499.99,656.01,1,25,0,0.1224,0.8571,1,mobile,Chrome,direct,iOS
user_1614,39,20,6,3,4,2,2,1,1,39,8,266.95,1099.99,204.97,7994,1.85,2249.99,439.61,1,25,0,0.1026,0.6667,1,mobile,Chrome,direct,iOS
user_1854,55,21,14,9,7,3,1,0,0,54,8,271.5,1299.99,168.33,9258,1.45,2499.99,778.17,1,20,0,0.1273,0.5,1,mobile,Chrome,direct,Android
user_0478,44,17,6,7,8,2,4,0,0,44,8,257.63,1299.99,133.82,5888,1.48,2499.99,577.15,1,25,0,0.1818,1.3333,1,mobile,Chrome,direct,Android
user_0148,43,14,8,8,5,2,3,1,2,43,8,313.85,1299.99,208.02,8945,1.7,2499.99,953.71,1,25,0,0.1163,0.625,1,mobile,Chrome,direct,Android
